JOB_NUM,Q1,Q2,Q3,EN,SN,FN,F,M,ORIG_MAPE,MAPE1,MAPE2,WMAPE,KAPPA,SIM_TIME
41,1.53908,1.05558,0.87343,0.39611,0.12777,0.08461,0.00145,19.10613,11.3236,1.53776,21.39388,22.16276,2.5,101.33567
42,0.9294,0.94624,2.55985,0.27943,0.16135,0.03937,0.00137,18.64201,16.77875,1.52054,32.48096,33.24123,2.5,99.60757
43,1.55416,0.99548,2.42377,0.36168,0.13879,0.07421,0.00133,20.9472,27.20934,1.59002,53.56753,54.36254,2.5,100.08334
44,1.58018,1.07555,2.4441,0.26878,0.12403,0.0779,0.0014,20.68001,23.27552,1.91515,45.25955,46.21713,2.5,99.60724
45,0.98221,0.90632,2.43605,0.36499,0.11604,0.08527,0.00146,20.90546,17.2923,1.41393,33.62954,34.3365,2.5,103.72817
46,1.56132,1.05938,1.40501,0.32098,0.11029,0.07681,0.00141,688.21416,3.83872,1.56947,6.17961,6.96434,2.5,101.55272
47,1.56184,1.08689,2.55282,0.30344,0.17804,0.07863,0.00145,207.61703,22.3609,2.01566,43.2912,44.29903,2.5,97.23986
48,1.48362,1.0222,2.52718,0.27043,0.14079,0.0398,0.0015,197.4933,18.16933,1.7163,35.09837,35.95652,2.5,96.42571
49,1.47177,0.98064,2.55882,0.37276,0.11325,0.06797,0.00145,145.80367,18.19125,1.49562,35.36689,36.11471,2.5,97.31418
50,1.16189,0.95848,2.54627,0.30639,0.18562,0.03542,0.0014,118.64159,14.42966,1.5718,27.65843,28.44433,2.5,96.77071
51,1.26332,0.97029,2.46572,0.27122,0.16294,0.06592,0.00139,0.00947,21.89646,1.8312,42.54146,43.45706,2.5,92.7238
52,0.92825,1.0949,2.43215,0.26513,0.19644,0.03759,0.00133,0.14312,17.50664,1.56564,33.91024,34.69306,2.5,93.51095
53,1.35109,1.05721,1.96312,0.26331,0.18301,0.06314,0.00141,206.16681,22.37767,1.93383,43.41947,44.38638,2.5,98.03459
54,1.53901,1.0253,2.5416,0.2622,0.18023,0.03654,0.00144,226.91214,18.66824,1.79679,36.0269,36.92529,2.5,92.742
55,1.58988,0.95165,2.53886,0.27533,0.18125,0.08343,0.00136,190.22337,26.2139,2.17779,50.9417,52.03059,2.5,93.16218
56,1.46602,0.93296,2.5579,0.26592,0.17055,0.07192,0.00137,207.04019,19.48542,2.00694,37.47585,38.47932,2.5,92.81847
57,1.49088,0.9678,2.53928,0.34098,0.17455,0.04018,0.00148,192.86996,16.92518,1.63872,32.65833,33.47769,2.5,92.60842
58,1.59358,1.03974,2.54851,0.39894,0.19832,0.06829,0.00148,189.6683,22.94598,1.73272,44.77704,45.6434,2.5,92.75296
59,1.40214,0.94549,2.49851,0.32295,0.10407,0.0712,0.00142,189.76494,16.51126,1.50242,31.95557,32.70678,2.5,92.77391
60,1.57307,0.97724,2.4751,0.27576,0.1555,0.04255,0.00136,188.51118,22.8548,1.76192,44.56349,45.44445,2.5,94.49009
61,1.41431,0.92546,2.48597,0.25608,0.1591,0.03622,0.00143,189.10678,15.82588,1.71731,30.34562,31.20427,2.5,95.34426
62,1.27613,0.90823,2.54342,0.36254,0.17509,0.06267,0.00132,183.57137,14.4041,1.58339,27.60192,28.39362,2.5,96.38185
63,1.51309,0.99524,2.54222,0.31733,0.13353,0.03425,0.00149,76.08991,20.86748,1.5815,40.71485,41.5056,2.5,94.96123
64,1.37051,0.93051,2.55904,0.28338,0.1343,0.04794,0.00137,79.04086,19.18359,1.63493,37.24739,38.06486,2.5,94.94873
65,1.55935,0.97063,2.55268,0.31581,0.1752,0.0345,0.00145,77.04507,22.15912,1.67524,43.24328,44.0809,2.5,95.15256
66,1.59997,1.02874,2.52796,0.31184,0.14902,0.04659,0.00141,80.59719,20.09385,1.69679,39.02036,39.86875,2.5,94.85053
67,1.56547,1.09816,2.51694,0.26307,0.16499,0.06297,0.00141,80.09888,27.02741,2.04517,52.72725,53.74984,2.5,95.21373
68,1.57274,1.04992,2.46696,0.253,0.19147,0.04,0.00144,84.16743,21.40779,1.88732,41.50199,42.44565,2.5,94.85703
69,1.20235,0.90024,2.52841,0.32593,0.12123,0.0477,0.00134,84.48508,16.1087,1.46465,31.18177,31.91409,2.5,94.45518
70,1.58392,0.9926,2.55606,0.31208,0.12215,0.06794,0.0014,81.61181,25.36044,1.6424,49.76935,50.59055,2.5,95.10711
71,1.5714,1.01517,2.55499,0.36542,0.16957,0.03606,0.00146,82.2847,22.25111,1.60581,43.49528,44.29819,2.5,95.1364
72,1.52508,0.90069,2.54232,0.39602,0.19349,0.06409,0.00135,82.29498,21.88286,1.65357,42.69883,43.52561,2.5,94.90853
