JOB_NUM,Q1,Q2,Q3,EN,SN,FN,F,M,ORIG_MAPE,MAPE1,MAPE2,WMAPE,KAPPA,SIM_TIME
72,1.0686985592950933,1.0757692392800846,2.558955736511889,0.3848814339136467,0.19609601004657728,0.08458612552933091,0.0013747554601466214,108.14000830961047,13.86794735662226,1.6038557713748471,26.484995774221385,27.28692365990881,2.5,111.85763597488403
73,0.9070425484967937,0.9424139105350484,2.4159899841831174,0.30956645029249164,0.1859495190654753,0.06756978631670037,0.0013159827013123717,568.5744109248858,2.214621267798158,1.575631129773016,2.8755833907542816,3.6633989556407895,2.5,110.57061100006104
74,1.0940499814450373,1.0097590677168424,1.840937801775506,0.39786882686311703,0.11955792549560286,0.0627434015098681,0.0013811585255830978,0.10043309079925677,19.624312467231626,1.4143078353751695,38.361300181121244,39.06845409880883,2.5,97.38118767738342
75,1.539126165185174,1.076023868935128,2.0341896650695714,0.3552020232730687,0.1413104490095603,0.0416925424845275,0.001316497609461804,0.025414774353738068,17.107461673898616,1.552057203501311,33.11476130637294,33.890789908123594,2.5,97.06488084793091
76,1.3324971674043657,1.0819682269489177,1.2533458621235187,0.3316913454297723,0.16453069306368437,0.042059305556799924,0.001444203261381105,0.22289460977988895,17.187508873132852,1.607134778397139,33.21276105053238,34.01632843973095,2.5,97.04962539672852
77,0.9788400206815566,1.0037298902729972,2.336285730231192,0.2735294287459025,0.18323610900843024,0.07899108711328662,0.0013399659754419252,0.010405074675468029,19.56077558957496,1.7759512952619612,37.86174999944598,38.749725647076964,2.5,95.33149719238281
78,1.320377030794796,1.0015719814920012,2.429363922220407,0.2780200981113946,0.1272507268442002,0.046222954988849554,0.0013227387546429373,0.05209501430796237,21.501253882890353,1.6060423850496566,41.968588334467256,42.77160952699209,2.5,101.67474842071533
79,0.9890800552876121,0.988720565957298,1.50420178852907,0.3756463477990442,0.18039752026560854,0.08035068107890954,0.00136001605822122,0.011926459384437038,20.605571889625452,1.5411786165902954,40.22744257290231,40.99803188119746,2.5,97.1484808921814
80,1.5074023209199119,0.9265952964447137,2.522644497621023,0.25185820417514326,0.1137007282584798,0.056517832989869496,0.0013453170778155896,0.06501522573403307,25.934872990464232,1.7451551425416718,50.81742352515334,51.690001096424176,2.5,102.42869400978088
81,1.3999643281487888,1.012403436210985,2.4872339253128324,0.3887138801348522,0.1395521270970762,0.06760038580590784,0.0013854373504547316,0.13128410541902724,21.585552333868307,1.5159620342577103,42.23270689287001,42.99068790999887,2.5,113.19057059288025
82,1.1463733932837459,0.9512119572448636,1.3510724056549581,0.31598368522056813,0.13248867566115408,0.046652887579988644,0.0013389888774750455,0.06976500283464304,22.331499018154627,1.4956554258858472,43.77060581868224,44.51843353162516,2.5,97.57097625732422
83,1.1951540089009884,0.9175518077105093,1.8451215136236372,0.36091519451151705,0.1873651109293727,0.08013443350086438,0.0013075629052655049,0.10448240791482988,22.813154781033806,1.6483379251156094,44.592481309631324,45.41665027218913,2.5,98.78502821922302
84,1.5244871743472719,1.028042364806197,2.471647625103094,0.3791193131633265,0.17667295773097835,0.07894514321842798,0.0013776236186109822,728.3467036438857,3.3979826852855286,1.6868422173780016,5.163371721334433,6.006792830023434,2.5,97.90073490142822
85,1.1133698672743562,0.9591391793855468,2.5202748164036097,0.33300893937632947,0.1731898106877604,0.05235393096924396,0.001447693013055409,0.04691127106655202,18.76789407383268,1.5748848783117197,36.45895507372113,37.24639751287699,2.5,94.87190127372742
86,1.4020459963450147,1.0778237851531827,2.03947396472479,0.3294337829796721,0.16007727394807097,0.08011185030585743,0.0014245082670067664,0.13334777570115364,29.21362218455964,1.7681299687026544,57.44600457064792,58.33006955499925,2.5,97.44521427154541
87,1.528421538348515,0.9014978934650183,1.4930025092656667,0.32388651180103906,0.10290345911258952,0.04977140283032954,0.0014567568138435722,0.015458627187925345,14.73999106667258,1.515360531555869,28.35175218896943,29.109432454747367,2.5,101.74425530433655
88,1.5906592609325143,1.066383164800125,2.288777807117846,0.29462373785050017,0.10611431726285026,0.05629735524322857,0.001383676685424222,0.050596413368175774,18.08461501679525,1.5970844856064979,35.05024390823007,35.84878615103332,2.5,96.9017608165741
89,1.4214767356931926,1.0167237626705665,1.0836259478255672,0.26573853111080387,0.10714591337919552,0.07712726153667972,0.001371866434436784,63.097052265614636,14.272097892889585,1.7020283877072466,27.202908026389224,28.053922220242846,2.5,97.02837896347046
90,1.4898356073973518,1.0091127536816744,2.5219937734052933,0.3544113225868636,0.1060603682744528,0.06142115875541035,0.0014143840169934926,0.17207733367001765,23.2351467764691,1.496650790193799,45.60284831665174,46.351173711748636,2.5,96.75245141983032
91,1.3806982282429279,0.9145790854185453,2.397997081526392,0.25392942275964575,0.19532091738388693,0.05123876428278565,0.0014616635050786883,0.045951934306298625,23.4837324251926,1.8811800827566187,45.71033083192424,46.650920873302546,2.5,95.76576256752014
92,1.214095591495486,1.011777260555826,2.4368353453589218,0.33268389228975537,0.1552834803868111,0.07895957001839857,0.0014785290158559645,0.0521606658337781,20.198083907865907,1.655650554517998,39.27928957630547,40.107114853564475,2.5,95.69114232063293
93,1.308364131147811,0.9252460353927769,2.3920694712254784,0.2895403026244256,0.1555808252210334,0.059490757587633794,0.0014817450771850667,0.00191849849278114,22.28691687925442,1.7365360201889528,43.42860616542284,44.29687417551732,2.5,96.56190180778503
94,1.0145419285779218,0.9576018780520446,2.456271967029875,0.3393947864451497,0.17217056210778675,0.057822796733436876,0.0013722475120109797,0.1895638405635225,18.258966717301686,1.537317234794625,35.4678277519322,36.23648636932951,2.5,95.41531562805176
95,1.4906386594995553,1.041760283449069,1.97984693568731,0.2812370772806419,0.10875838269305398,0.05279042189841905,0.0013835793894440619,0.025212952347075657,18.784687163534812,1.606881286350883,36.45240671210661,37.25584735528205,2.5,98.9181125164032
96,1.5708350471582957,1.0980960181992359,2.34973842051129,0.25664882779625064,0.15313862151664678,0.07066659422050298,0.0013416237461759118,0.015500701411230722,22.080680765554856,2.1189639718217697,42.64058404967199,43.70006603558288,2.5,103.22312188148499
97,1.3660848231628044,1.089345972427101,2.495759160001151,0.3713023765084077,0.194707392441624,0.07560141545576687,0.001440150838487156,0.07899330172325136,21.90759888691117,1.7349564007437994,42.66321100398499,43.53068920435689,2.5,95.45943140983582
98,1.4587818058285236,0.9161162937961401,1.9372625386717055,0.37108207595221576,0.12026700848820895,0.08102982910641743,0.0013520309085136614,0.12300553140187631,18.60289943892098,1.4994918684315068,36.20416762664549,36.953913560861245,2.5,96.86973190307617
99,1.4648953222707157,1.049557944533516,1.4656249886956005,0.3048284308317776,0.19528207927426208,0.08975412733629293,0.0013750631720316105,0.07625254370449142,16.244266342740207,2.088857391434828,30.80132674164365,31.845755437361063,2.5,98.87353754043579
100,1.5896896112188514,1.012175130095919,1.9741144047394898,0.3584588867003971,0.12903261001595803,0.05837904858032543,0.0014054153852907085,0.013606209672190062,14.776525542422998,1.5631733911853363,28.368954476634084,29.150541172226752,2.5,97.22497200965881
101,0.9784005295029177,1.0795238719298184,1.3205473801988965,0.26590853416931115,0.1715213507593915,0.045575067687528344,0.0013135962263272326,231.58158517025765,11.955971405376522,1.6025858358864227,22.60909590674231,23.410388824685523,2.5,99.60618209838867
